"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
1954,129,103,55,0,"--","--","--","--","--",0,3,139,479
1955,300,117,57,6,"--","--","--","--","--",0,0,110,622
1956,194,277,69,0,"--","--","--","--","--",0,65,260,650
1957,212,225,68,6,"--","--","--","--","--","--",5,94,836
1958,295,139,78,10,0,"--","--","--","--","--",0,16,621
1959,341,62,7,0,"--","--","--","--","--","--",4,154,426
1960,361,155,67,17,"--","--","--","--","--","--",47,237,758
1961,199,174,36,3,"--","--","--","--","--","--",20,124,696
1962,168,225,76,0,"--","--","--","--","--","--",93,76,613
1963,391,129,42,1,"--","--","--","--","--","--",9,92,732
1964,210,184,34,0,"--","--","--","--","--",0,6,138,529
1965,193,299,121,34,"--","--","--","--","--","--",36,140,791
1966,258,205,55,0,"--","--","--","--","--","--",30,391,694
1967,414,128,41,0,"--","--","--","--","--",0,37,247,1004
1968,364,175,62,13,"--","--","--","--","--",0,26,141,898
1969,466,199,94,3,"--","--","--","--","--","--",36,298,929
1970,288,189,257,0,"--","--","--","--","--",0,63,251,1068
1971,181,121,154,0,"--","--","--","--","--",0,21,182,770
1972,109,147,8,0,"--","--","--","--","--","--",18,172,467
1973,146,134,114,0,"--","--","--","--","--",0,58,289,584
1974,286,203,76,0,0,"--","--","--","--","--",98,263,912
1975,256,176,110,0,"--","--","--","--","--",0,33,200,903
1976,335,96,84,0,"--","--","--","--","--",0,63,136,748
1977,527,285,65,0,"--","--","--","--","--","--",5,136,1076
1978,298,336,85,3,"--","--","--","--","--",0,0,126,863
1979,281,89,32,6,"--","--","--","--","--","--",26,142,534
1980,264,332,42,3,"--","--","--","--","--",0,9,138,809
1981,429,167,70,0,"--","--","--","--","--",0,112,139,813
1982,321,296,63,0,"--","--","--","--","--",0,31,91,931
1983,230,333,92,"--",0,"--","--","--","--",0,84,281,777
1984,273,323,133,9,"--","--","--","--","--",0,10,398,1103
1985,364,145,54,0,"--","--","--","--","--","--",102,321,971
1986,433,383,24,0,"--","--","--","--","--",0,25,98,1263
1987,354,246,74,14,"--","--","--","--","--","--",58,152,811
1988,300,419,82,"--","--","--","--","--","--",0,14,223,1011
1989,96,127,7,0,"--","--","--","--","--",0,13,163,467
1990,326,9,1,0,"--","--","--","--","--","--",4,84,512
1991,195,248,80,0,0,"--","--","--","--","--",9,137,611
1992,126,230,30,0,0,"--","--","--","--","--",25,176,532
1993,103,106,33,0,"--","--","--","--","--",0,12,138,443
1994,256,200,102,2,"--","--","--","--","--","--",16,250,710
1995,334,71,26,11,"--","--","--","--","--",0,26,114,708
1996,234,302,66,24,"--","--","--","--","--",0,34,110,766
1997,207,114,35,0,"--","--","--","--","--",0,"--",110,500
1998,334,103,22,0,"--","--","--","--","--","--",119,82,569
1999,388,377,66,1,"--","--","--","--","--",0,61,181,1033
2000,155,260,106,0,"--","--","--","--","--",0,11,266,763
2001,411,278,61,0,"--","--","--","--","--","--",45,280,1027
2002,259,92,46,"--","--","--","--","--","--",0,49,254,722
2003,278,160,53,0,"--","--","--","--","--",0,7,124,794
2004,190,112,81,4,"--","--","--","--","--",0,1,238,518
2005,327,330,147,0,0,"--","--","--","--","--",9,200,1043
2006,203,140,40,"--","--","--","--","--","--","--",4,120,592
2007,88,55,68,"--","--","--","--","--","--","--",26,85,335
2008,179,122,14,"--","--","--","--","--","--","--",29,96,426
2009,158,93,66,2,"--","--","--","--","--","--",3,123,444
2010,203,112,80,"--","--","--","--","--","--","--",17,99,521
2011,311,62,146,4,"--","--","--","--","--","--",24,205,639
2012,244,193,63,32,"--","--","--","--","--","--",14,154,761
2013,242,220,66,1,"--","--","--","--","--","--",45,107,697
2014,204,143,131,"--","--","--","--","--","--","--","--",292,630
