STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Measurement Flag,Quality Flag,Number of Days,Units,MXSD,Measurement Flag,Quality Flag,Number of Days,Units,DSNW,Measurement Flag,Quality Flag,Number of Days,Units,TPCP,Measurement Flag,Quality Flag,Number of Days,Units,TSNW,Measurement Flag,Quality Flag,Number of Days,Units
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196406,81, , ,30,HI,0, , ,99,I,0, , ,00,NA,448, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196407,63, , ,11,HI,0, , ,99,I,0, , ,00,NA,325, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196408,110, , ,23,HI,0, , ,99,I,0, , ,00,NA,516, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196409,128, , ,22,HI,0, , ,99,I,0, , ,00,NA,364, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196410,155, , ,05,HI,8, , ,20,I,12, , ,00,NA,682, , ,00,HI,75, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196411,287, , ,18,HI,16, , ,14,I,30, , ,00,NA,1155, , ,00,HI,-9999, , , , 
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196412,136, , ,06,HI,30,+, ,18,I,31, , ,00,NA,316, , ,00,HI,293, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196501,95, , ,13,HI,36, , ,16,I,31, , ,00,NA,342,E, ,00,HI,303, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196502,90, , ,12,HI,50, , ,14,I,28, , ,00,NA,232, , ,00,HI,293, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196503,130, , ,09,HI,65, , ,06,I,31, , ,00,NA,689, , ,00,HI,340, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196504,177, , ,25,HI,30,+, ,03,I,22, , ,00,NA,389, , ,00,HI,150, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196505,80,+, ,30,HI,0, , ,99,I,0, , ,00,NA,480, , ,00,HI,30, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196506,115, , ,07,HI,0, , ,99,I,0, , ,00,NA,355, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196507,73, , ,28,HI,0, , ,99,I,0, , ,00,NA,404, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196508,76, , ,11,HI,0, , ,99,I,0, , ,00,NA,414, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196509,120, , ,07,HI,0, , ,99,I,0, , ,00,NA,950, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196510,300, , ,10,HI,10, , ,23,I,16, , ,00,NA,875, , ,00,HI,140, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196511,47, , ,25,HI,14, , ,30,I,30, , ,00,NA,197, , ,00,HI,217, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196512,97, , ,14,HI,47,+, ,21,I,31, , ,00,NA,396, , ,00,HI,490, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196601,62, , ,30,HI,34,+, ,31,I,31, , ,00,NA,137, , ,00,HI,240, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196602,70, , ,10,HI,57, , ,10,I,28, , ,00,NA,246,E, ,00,HI,384, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196603,113, , ,12,HI,54, , ,13,I,31, , ,00,NA,492, , ,00,HI,512, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196604,71, , ,04,HI,41, , ,02,I,30, , ,00,NA,283, , ,00,HI,103, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196605,58, , ,07,HI,2, , ,01,I,2, , ,00,NA,329, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196606,84, , ,10,HI,0, , ,99,I,0, , ,00,NA,203, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196607,90, , ,28,HI,0, , ,99,I,0, , ,00,NA,217, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196608,185, , ,22,HI,0, , ,99,I,0, , ,00,NA,1094, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196609,250, , ,12,HI,0, , ,99,I,0, , ,00,NA,1076, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196610,64, , ,08,HI,0,T, ,26,I,0, , ,00,NA,360, , ,00,HI,10, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196611,95, , ,02,HI,12,+, ,27,I,24, , ,00,NA,305, , ,00,HI,243, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196612,120, , ,27,HI,37, , ,29,I,19, , ,00,NA,523, , ,00,HI,464, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196701,48, , ,01,HI,48,+, ,09,I,31, , ,00,NA,136, , ,00,HI,242, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196702,176, , ,06,HI,35, , ,18,I,28, , ,00,NA,413,E, ,00,HI,371, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196703,120, , ,02,HI,60, , ,07,I,31, , ,00,NA,410,E, ,00,HI,437, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196704,61, , ,02,HI,16, , ,02,I,30, , ,00,NA,155, , ,00,HI,80, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196705,71, , ,14,HI,3,+, ,02,I,4, , ,00,NA,152, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196706,56, , ,06,HI,0, , ,99,I,-9999, , , , ,208, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196707,41, , ,20,HI,0, , ,99,I,0, , ,00,NA,96, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196708,18, , ,24,HI,0, , ,99,I,0, , ,00,NA,34, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196709,21, , ,01,HI,0, , ,99,I,0, , ,00,NA,71, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196710,13, , ,26,HI,0, , ,99,I,0, , ,00,NA,32,E, ,00,HI,0,T, ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196711,201, , ,21,HI,14, , ,27,I,21, , ,00,NA,1130, , ,00,HI,262, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196712,223, , ,13,HI,25,+, ,31,I,31, , ,00,NA,646, , ,00,HI,286, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196801,91, , ,03,HI,38,+, ,05,I,31, , ,00,NA,215, , ,00,HI,339, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196802,220, , ,09,HI,53,+, ,27,I,29, , ,00,NA,1365, , ,00,HI,507, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196803,102, , ,03,HI,51, , ,01,I,-9999, , , , ,291, , ,00,HI,142, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196804,52, , ,27,HI,40,+, ,02,I,30, , ,00,NA,88, , ,00,HI,20, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196805,100, , ,15,HI,24,+, ,02,I,21, , ,00,NA,434, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196806,12, , ,20,HI,0, , ,99,I,0, , ,00,NA,12, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196807,14, , ,10,HI,0, , ,99,I,0, , ,00,NA,19, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196808,131, , ,20,HI,0, , ,99,I,0, , ,00,NA,370, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196809,151, , ,29,HI,0, , ,99,I,0, , ,00,NA,676, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196810,101, , ,01,HI,-9999, , , , ,-9999, , , , ,392, , ,00,HI,70, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196811,-9999, , , , ,-9999, , , , ,-9999, , , , ,605,E, ,00,HI,-9999, , , , 
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196812,-9999, , , , ,-9999, , , , ,-9999, , , , ,446,E, ,00,HI,-9999, , , , 
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196901,7, , ,30,HI,10,+, ,31,I,-9999, , , , ,9, , ,00,HI,80, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196902,36, , ,11,HI,17, , ,20,I,28, , ,00,NA,134, , ,00,HI,202, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196903,51, , ,23,HI,26, , ,22,I,-9999, , , , ,391, , ,00,HI,455, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196904,30, , ,06,HI,16, , ,01,I,23, , ,00,NA,97, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196906,33, , ,16,HI,0, , ,99,I,0, , ,00,NA,97, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196907,84, , ,28,HI,0, , ,99,I,0, , ,00,NA,323, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,196908,-9999, , , , ,0, , ,99,I,0, , ,00,NA,-9999, , , , ,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197111,311, , ,11,HI,33, , ,11,I,30, , ,00,NA,768, , ,00,HI,519, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197112,69, , ,15,HI,37, , ,31,I,31, , ,00,NA,365, , ,00,HI,553, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197201,129, , ,29,HI,36, , ,08,I,31, , ,00,NA,176, , ,00,HI,259, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197202,122, , ,01,HI,52, , ,14,I,29, , ,00,NA,266, , ,00,HI,356, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197203,50, , ,13,HI,46, , ,21,I,31, , ,00,NA,361, , ,00,HI,459, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197204,-9999, , , , ,46, , ,18,I,30, , ,00,NA,-9999, , , , ,409, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197205,109, , ,20,HI,27, , ,01,I,17, , ,00,NA,435, , ,00,HI,0,T, ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197206,67, , ,17,HI,0, , ,99,I,0, , ,00,NA,278, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197207,56, , ,27,HI,0, , ,99,I,0, , ,00,NA,144, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,18.3,61.13333,-146.25,197208,65, , ,15,HI,0, , ,99,I,0, , ,00,NA,319, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,26.5,61.13333,-146.35,197304,130, , ,30,HI,35,+, ,11,I,29, , ,00,NA,375, , ,00,HI,101, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,26.5,61.13333,-146.35,197306,-9999, , , , ,-9999, , , , ,0, , ,00,NA,-9999, , , , ,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,26.5,61.13333,-146.35,197308,151, , ,21,HI,0, , ,99,I,0, , ,00,NA,835, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,26.5,61.13333,-146.35,197309,67, , ,27,HI,0, , ,99,I,0, , ,00,NA,278, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,8.5,61.13333,-146.35,197310,120, , ,01,HI,1,+, ,17,I,2, , ,00,NA,435, , ,00,HI,39, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,8.5,61.13333,-146.35,197311,122, , ,24,HI,15, , ,24,I,13, , ,00,NA,243, , ,00,HI,290, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197507,76, , ,19,HI,0, , ,99,I,0, , ,00,NA,430, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197508,99, , ,18,HI,0, , ,99,I,0, , ,00,NA,341, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197509,298, , ,11,HI,0, , ,99,I,0, , ,00,NA,1283, , ,00,HI,0, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197510,134, , ,23,HI,6, , ,23,I,8, , ,00,NA,551, , ,00,HI,147, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197511,21, , ,18,HI,3, , ,19,I,21, , ,00,NA,42, , ,00,HI,68, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197512,157, , ,16,HI,38, , ,31,I,23, , ,00,NA,636, , ,00,HI,841, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197601,124, , ,18,HI,56, , ,29,I,31, , ,00,NA,700, , ,00,HI,961, , ,00,TI
COOP:509686,VALDEZ WEATHER SERVICE OFFICE AK US,7,61.13333,-146.35,197602,118, , ,06,HI,62, , ,06,I,29, , ,00,NA,227, , ,00,HI,332, , ,00,TI
