"DATE","TSNW",
196406,0,
196407,0,
196408,0,
196409,0,
196410,75,"NA"
196411,-9999,
196412,293,
196501,303,
196502,293,
196503,340,
196504,150,
196505,30,
196506,0,
196507,0,
196508,0,
196509,0,
196510,140,2086
196511,217,
196512,490,
196601,240,
196602,384,
196603,512,
196604,103,
196605,0,
196606,0,
196607,0,
196608,0,
196609,0,
196610,10,1847
196611,243,
196612,464,
196701,242,
196702,371,
196703,437,
196704,80,
196705,0,
196706,0,
196707,0,
196708,0,
196709,0,
196710,0,
196711,262,1556
196712,286,
196801,339,
196802,507,
196803,142,
196804,20,
196805,0,
196806,0,
196807,0,
196808,0,
196809,0,
196810,70,"NA"
196811,-9999,
196812,-9999,
196901,80,
196902,202,
196903,455,
196904,0,
196906,0,
196907,0,
196908,0,
197111,519,"NA"
197112,553,"NA"
197201,259,
197202,356,
197203,459,
197204,409,
197205,0,
197206,0,
197207,0,
197208,0,"NA"
197304,101,
197306,0,
197308,0,
197309,0,
197310,39,
197311,290,"NA"
197507,0,"NA"
197508,0,
197509,0,
197510,147,3510
197511,68,
197512,841,
197601,961,
197602,332,
197603,755,
197604,406,
197605,0,
197606,0,
197607,0,
197608,0,
197609,0,
197610,258,3793
197611,447,
197612,1015,
197701,540,
197702,262,
197703,529,
197704,714,
197705,28,
197706,0,
197707,0,
197708,0,
197709,0,
197710,6,1961
197711,175,
197712,412,
197801,324,
197802,759,
197803,278,
197804,7,
197805,0,
197806,0,
197807,0,
197808,0,
197809,0,
197810,198,3123
197811,280,
197812,822,
197901,456,
197902,121,
197903,1126,
197904,120,
197905,0,
197906,0,
197907,0,
197908,0,
197909,0,
197910,0,
197911,318,3014
197912,1055,
198001,373,
198002,865,
198003,364,
198004,39,
198005,0,
198006,0,
198007,0,
198008,0,
198009,0,
198010,47,2406
198011,274,
198012,602,
198101,245,
198102,613,
198103,579,
198104,46,
198105,0,
198106,0,
198107,0,
198108,0,
198109,0,2576
198110,25,
198111,756,
198112,701,
198201,170,
198202,46,
198203,746,
198204,132,
198205,0,
198206,0,
198207,0,
198208,0,
198209,0,
198210,350,3045
198211,594,
198212,569,
198301,602,
198302,311,
198303,109,
198304,510,
198305,0,
198306,0,
198307,0,
198308,0,
198309,0,
198310,390,2960
198311,178,
198312,247,
198401,805,
198402,1008,
198403,156,
198404,176,
198405,0,
198406,0,
198407,0,
198408,0,
198409,0,
198410,5,3388
198411,293,
198412,608,
198501,379,
198502,595,
198503,1139,
198504,311,
198505,58,
198506,0,
198507,0,
198508,0,
198509,0,
198510,24,2999
198511,320,
198512,551,
198601,919,
198602,477,
198603,501,
198604,207,
198605,0,
198606,0,
198607,0,
198608,0,
198609,0,
198610,12,3847
198611,559,
198612,952,
198701,1280,
198702,842,
198703,101,
198704,101,
198705,0,
198706,0,
198707,0,
198708,0,
198709,0,
198710,8,3535
198711,481,
198712,856,
198801,334,
198802,792,
198803,865,
198804,199,
198805,0,
198806,0,
198807,0,
198808,0,
198809,0,
198810,86,3128
198811,375,
198812,1100,
198901,1096,
198902,89,
198903,226,
198904,156,
198905,0,
198906,0,
198907,0,
198908,0,
198909,0,
198910,192,5507
198911,761,
198912,1233,
199001,1485,
199002,840,
199003,790,
199004,206,
199005,0,
199006,0,
199007,0,
199008,0,
199009,0,
199010,51,3271
199011,167,
199012,919,
199101,665,
199102,683,
199103,691,
199104,95,
199105,0,
199106,0,
199107,0,
199108,0,
199109,0,
199110,64,5158
199111,599,
199112,1371,
199201,857,
199202,857,
199203,1002,
199204,389,
199205,19,
199206,0,
199207,0,
199208,0,
199209,46,3434
199210,94,
199211,570,
199212,477,
199301,904,
199302,854,
199303,476,
199304,13,
199305,0,
199306,0,
199307,0,
199308,0,
199309,0,
199310,44,3416
199311,756,
199312,865,
199401,427,
199402,135,
199403,956,
199404,231,
199405,2,
199406,0,
199407,0,
199408,0,
199409,0,
199410,109,3969
199411,1082,
199412,1245,
199501,654,
199502,174,
199503,616,
199504,24,
199505,65,
199506,0,
199507,0,
199508,0,
199509,0,
199510,20,2673
199511,58,
199512,93,
199601,41,
199602,1800,
199603,455,
199604,206,
199605,0,
199606,0,
199607,0,
199608,0,
199609,60,2306
199610,301,
199611,222,
199612,166,
199701,681,
199702,591,
199703,251,
199704,34,
199705,0,
199706,0,
199707,0,
199708,0,
199709,0,
199710,151,2774
199711,357,
199712,971,
199801,435,
199802,352,
